Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.431895732879639,6.446622218528988,6.382907496530451,6.4144643088171485,493729600
2010-01-05,6.443016529083252,6.4793821235584055,6.409054923226288,6.449628601266614,601904800
2010-01-06,6.340529918670654,6.468560832823781,6.333917848467796,6.443014599215653,552160000
2010-01-07,6.328808307647705,6.371485815317999,6.282825567311201,6.363972098955877,477131200
2010-01-08,6.370885848999023,6.371487347719221,6.283128429648899,6.320394866701701,447610800
2010-01-11,6.3146843910217285,6.40154055373369,6.264794111645861,6.395529580009705,462229600
2010-01-12,6.242855072021484,6.304466760171064,6.203784940266471,6.2870345322721555,594459600
2010-01-13,6.330914497375488,6.339329862823668,6.134060272108536,6.247364749292684,605892000
2010-01-14,6.294246673583984,6.325202784995313,6.281924579512755,6.3146839829247385,432894000
2010-01-15,6.189058780670166,6.3594663110447955,6.187255488164612,6.339329544732777,594067600
2010-01-19,6.462852954864502,6.467361186604379,6.228430923391844,6.261189536901425,730007600
2010-01-20,6.363372325897217,6.478178718430201,6.296351170025598,6.458944003019805,612152800
2010-01-21,6.253375053405762,6.410859410072198,6.227528659861324,6.373893112505164,608154400
2010-01-22,5.943215370178223,6.2362435734028505,5.9254837968544205,6.214604866415606,881767600
2010-01-25,6.103102684020996,6.152090516042383,6.016546666542417,6.086272358435345,1065699600
2010-01-26,6.189358711242676,6.422879850921394,6.088376748617638,6.189659259963583,1867110000
2010-01-27,6.247664928436279,6.328810688068745,5.996711924017105,6.2167088066475396,1722568400
2010-01-28,5.989499092102051,6.176135862114551,5.971767517537085,6.159005385078344,1173502400
2010-01-29,5.772206783294678,6.076956368260788,5.7178086679858025,6.043295713665976,1245952400
2010-02-01,5.852450370788574,5.890619250277496,5.749364582060709,5.7815224880028415,749876400
2010-02-02,5.88641357421875,5.900238818086442,5.811879483178748,5.88791671938414,698342400
2010-02-03,5.9876933097839355,6.016846126540046,5.843132624360645,5.865673371049762,615328000
2010-02-04,5.771907329559326,5.961849330982893,5.757480989056238,5.9125601367974125,757652000
2010-02-05,5.874389171600342,5.890618798933142,5.735839452095411,5.7893363100296655,850306800
2010-02-08,5.83411979675293,5.94712374014081,5.830513211083085,5.881305156733202,478270800
2010-02-09,5.896330833435059,5.935701514100808,5.8530526179297,5.9032430531051245,632886800
2010-02-10,5.864171504974365,5.9086523089934495,5.838325120652372,5.887312951137094,370361600
2010-02-11,5.970865726470947,6.003324593151563,5.83231595027397,5.8569605487450405,550345600
2010-02-12,6.022258758544922,6.060127101910363,5.875594165514762,5.954035389971698,655468800
2010-02-16,6.113022327423096,6.1217378404670475,6.056520362588575,6.06914300963386,543737600
2010-02-17,6.087477207183838,6.140372191798601,6.036684860403859,6.136765606138478,436396800
2010-02-18,6.098896026611328,6.1277483047943075,6.038486932813643,6.059825091123259,422825200
2010-02-19,6.061027526855469,6.107010680977252,6.044197198888892,6.066738354111991,415469600
2010-02-22,6.023459434509277,6.085972364718372,5.9864931456019566,6.081163986445865,390563600
2010-02-23,5.922477722167969,6.050809222678073,5.881904846891004,6.0108370436022485,575094800
2010-02-24,6.030672550201416,6.054114546153318,5.945919021016531,5.957640420259103,460566400
2010-02-25,6.07094669342041,6.096793086715012,5.917369873796067,5.93209636317556,665126000
2010-02-26,6.1496901512146,6.166219937845968,6.070948353379156,6.08236880920562,507460800
2010-03-01,6.281024932861328,6.296352116233436,6.174632684086188,6.183648745116841,550093600
2010-03-02,6.276816368103027,6.33632340583361,6.243455863559168,6.3092744240106535,566546400
2010-03-03,6.291241645812988,6.30747127603786,6.249466980485868,6.279521048739402,372052800
2010-03-04,6.332717418670654,6.33902894238673,6.270204482806725,6.289740552718408,366041200
2010-03-05,6.580364227294922,6.602904981665259,6.450529979692463,6.459846990689096,899620400
2010-03-08,6.584271430969238,6.614625650416566,6.559326286398969,6.61222166172306,429889600
2010-03-09,6.702683448791504,6.762190482997872,6.548505585711459,6.561128229139083,920259200
2010-03-10,6.757383823394775,6.7766189451520455,6.708095428958674,6.727029600671761,596218000
2010-03-11,6.777218818664551,6.777218818664551,6.711701195587345,6.729433572354464,405700400
2010-03-12,6.81027889251709,6.844239697013196,6.78473265037516,6.833419942157783,416323600
2010-03-15,6.727328777313232,6.777217857861924,6.619433794546417,6.7736120758013385,493502800
2010-03-16,6.745660781860352,6.761589460980633,6.687355941737034,6.73754636859024,446908000
2010-03-17,6.735745429992676,6.805771292092223,6.7101995852436405,6.759187433200796,450956800
2010-03-18,6.751673698425293,6.762192504214614,6.690362952527392,6.73514311464194,342109600
2010-03-19,6.679543972015381,6.769406053849886,6.648888396716377,6.755881759572917,559445600
2010-03-22,6.754676342010498,6.792244521553917,6.616427174762215,6.626044731449568,456419600
2010-03-23,6.863173007965088,6.8757960537169005,6.735141665796506,6.781425364353218,602431200
2010-03-24,6.89353084564209,6.918475997373067,6.837629565554165,6.841537101627843,597780400
2010-03-25,6.811781406402588,6.9416160603348,6.799759456260702,6.940112915300371,542284400
2010-03-26,6.939513683319092,6.971070103475265,6.8688859192168525,6.880907871200257,640875200
2010-03-29,6.9842939376831055,7.028774360606021,6.961152882293258,7.002627817009655,540744400
2010-03-30,7.088277816772461,7.137266848355028,7.040190832459831,7.110818565589845,527310000
2010-03-31,7.062734603881836,7.1111225588371925,7.046505771409166,7.077461896172706,430659600
2010-04-01,7.091886043548584,7.174835087472389,6.995111757704138,7.13516425920159,603145200
2010-04-05,7.1676249504089355,7.168226048070769,7.055823192908759,7.062135119624804,684507600
2010-04-06,7.199179649353027,7.220217257599032,7.122841878163276,7.15890692268022,447017200
2010-04-07,7.231037616729736,7.270709249271003,7.172731961653409,7.199480399187049,628502000
2010-04-08,7.211501598358154,7.259287640922584,7.154097996776997,7.226228084335873,572989200
2010-04-09,7.266804218292236,7.269810509367199,7.226832424493339,7.255985262077187,334182800
2010-04-12,7.281827449798584,7.305269444330232,7.267401113143298,7.279122110409122,333026400
2010-04-13,7.286036491394043,7.297157197133213,7.246364856350066,7.268906415331217,306210800
2010-04-14,7.3840131759643555,7.387619760901099,7.335325884385047,7.371691078697165,404076400
2010-04-15,7.481087684631348,7.484393319234319,7.378602579006526,7.386716993056209,376784800
2010-04-16,7.435403823852539,7.547806616793479,7.3497494607896625,7.470566813804754,750545600
2010-04-19,7.425487995147705,7.450132189333422,7.266200372828594,7.4242858001858,566924400
2010-04-20,7.350952625274658,7.491005111298149,7.301964390290182,7.469666554566681,738326400
2010-04-21,7.790643215179443,7.821599321971095,7.685753752460564,7.778020173058636,982391200
2010-04-22,8.008535385131836,8.016950746162713,7.699878785994034,7.76118989954315,793424800
2010-04-23,8.13957691192627,8.180149797873456,8.02446952543594,8.054222654117124,796955600
2010-04-26,8.099604606628418,8.188564641981264,8.06023311591244,8.171133614476606,479068800
2010-04-27,7.875397682189941,8.049711918121588,7.829715884175617,8.032581043232902,709343600
2010-04-28,7.862174987792969,7.934304275195362,7.706193808750317,7.911764324307108,758402400
2010-04-29,8.073759078979492,8.11463211424853,7.8744996212752225,7.904853848900998,558840800
2010-04-30,7.846848964691162,8.131761993822733,7.844144426857274,8.093893648947411,542463600
2010-05-03,8.00493335723877,8.050916919201944,7.900644937162111,7.92949761997303,454342000
2010-05-04,7.774415016174316,7.912965147439124,7.716411127832061,7.900944002889362,723819600
2010-05-05,7.693572521209717,7.758189308956885,7.475378909138978,7.6046124846333125,883103200
2010-05-06,7.400844573974609,7.761494272349065,5.988297046263176,7.628654925316913,1285860800
2010-05-07,7.088580131530762,7.4104610316140755,6.768503326538932,7.324506493945816,1676018400
2010-05-10,7.633462905883789,7.65329912483426,7.469367289051618,7.521060875298198,984306400
2010-05-11,7.709501266479492,7.810783392751203,7.52857492023416,7.568846850207621,848906800
2010-05-12,7.876903057098389,7.908159328680285,7.7750198263010235,7.791247855870888,654379600
2010-05-13,7.764801025390625,7.964360602813699,7.705894266245959,7.910863721782331,599712400
2010-05-14,7.628350734710693,7.7082950690000365,7.4985169305513795,7.668623450499559,759362800
2010-05-17,7.640373706817627,7.6992804464595075,7.444720927097291,7.654800043676832,762834800
2010-05-18,7.584473133087158,7.770508351872897,7.521358712888782,7.723323412963844,782678400
2010-05-19,7.463657379150391,7.601305508712131,7.358768664974356,7.498520234705768,1025726800
2010-05-20,7.145686149597168,7.328715975228571,7.099101481680451,7.2695082563072875,1282915200
2010-05-21,7.282732009887695,7.348250039736606,6.9530368153548165,6.9972162828052085,1223891200
2010-05-24,7.416173458099365,7.540598277294765,7.401146817783224,7.431801998663163,754238800
2010-05-25,7.369887828826904,7.4161707307159,7.127651156909051,7.193469326051639,1048006400
2010-05-26,7.336526393890381,7.577561642954311,7.325706640382292,7.515950361499818,850654000
2010-05-27,7.614229679107666,7.630459315122206,7.486800191646223,7.531580761293423,666282400
2010-05-28,7.720320224761963,7.79605690952278,7.614228515582958,7.7957567620203365,815614800
2010-06-01,7.839035511016846,7.992612346737848,7.782834085439851,7.804773748047646,876472800
2010-06-02,7.932802200317383,7.958347636774476,7.824005172760009,7.950533370342924,688548000
2010-06-03,7.907858371734619,7.980889713791403,7.826410861897817,7.969769008448815,650106800
2010-06-04,7.692670822143555,7.871191982357742,7.652699038182486,7.76029229134587,758304400
2010-06-07,7.541793346405029,7.78853770584509,7.530071550791394,7.7626913310995915,886942000
2010-06-08,7.493411540985107,7.627754039469697,7.382811995329503,7.6109233074524765,1000770400
2010-06-09,7.309177398681641,7.570649979102067,7.287839642609162,7.557725982419684,854630000
